"STREET NAME";"STREET NAME 1ST PART";"STREET NAME 2ND PART";"TOWN IF NOT GLASGOW";"ALTERNATIVE SPELLING";"DIRECTORY START scan 585";"DIRECTORY END scan 789"
"Bellgrove Street";"Bellgrove";"Street";;"east, west";;
"Belmar Terrace";"Belmar";"Terrace";"Pollockshields";;;
"Belmont Crescent";"Belmont ";"Crescent";"Hillhead";;;
"Belmont Street";"Belmont ";"Street";"Hillhead";;;
"Bentinck Street";"Bentinck";"Street";;;;
"Berkeley Street";"Berkeley";"Street";;;;
"Berkeley Terrace";"Berkeley";"Terrace";;;;
"Berlin Place";"Berlin";"Place";"Pollockshields";;;
"Bernard Street";"Bernard ";"Street";;;;
"Bilbao Street";"Bilbao ";"Street";;;;
"Binnie Place";"Binnie";"Place";;"east, west";;
"Bishop Street";"Bishop";"Street";"Anderston, Port Dundas";;;
"Black Street";"Black";"Street";;;;
"Blackburn Street";"Blackburn";"Street";;;;
"Blackie Street";"Blackie ";"Street";"Overnewton";;;
"Blair Street";"Blair ";"Street";;;;
"Bluevale Street";"Bluevale ";"Street";;;;
"Blythswood Square";"Blythswood";"Square";;;;
"Boden Street";"Boden";"Street";"Bridgeton";;;
"Bonnington Terrace";"Bonnigton";"Terrace";"Govanhill";;;
"Borron Street";"Borron";"Street";"Port Dundas";;;
"Boswell Terrace";"Boswell";"Terrace";"Kelvinside";;;
"Bothwell Circus";"Bothwell";"Circus";;;;
"Bothwell Street";"Bothwell";"Street";"Glasgow, Anderston";;;
"Bothwell Terrace";"Bothwell";"Terrace";"Hillhead";;;
"Bowmont Gardens";"Bowmont ";"Gardens";"Kelvinside";;;
"Bowmont Terrace";"Bowmont ";"Terrace";"Kelvinside";;;
"Braco Street";"Brace";"Street";;;;
"Braehead Street";"Braehead";"Street";;;;
"Braemar Terrace";"Braemar";"Terrace";;;;
"Braeside Terrace";"Braeside";"Terrace";"Pollockshields";;;
"Braid Street";"Braid";"Street";;;;
"Brandon Place";"Brandon";"Place";;;;
"Brandon Street";"Brandon";"Street";;;;
