"STREET NAME";"STREET NAME 1ST PART";"STREET NAME 2ND PART";"TOWN IF NOT GLASGOW";"ALTERNATIVE SPELLING";"DIRECTORY START scan 585";"DIRECTORY END scan 789"
"Little Street";;;;;;
"Livingston Terrace";;;;;;
"Lochinver Terrace";;;"Glasgow, Pollockshields";;;
"Logan Street";;;;;;
"Lomond Street";;;"Possilpark";;;
"London Road";;;;"norht, south";;
"London Street";;;;;;
"Lorne Place";;;"Glasgow, Mount Florida";;;
"Lorne Terrace";;;"Pollockshields";;;
"Loudon Place";;;"Govanhill";;;
"Loudon Terrace";;;"Kelvinside";;;
"Love Loan";;;;;;
"Lugar Place";;;"Kelvinside";;;
"Lumsden Street";;;;;;
"Luton Place";;;"Govanhill";;;
"Lynedoch Crescent";;;;;;
"Lynedoch Place";;;;;;
"Lynedoch Street";;;;;;
"Lyon Street";;;;"east";;
"McAlpine Street";;;;;;
"McAslin Street";;;;;;
"McCulloch Street";;;"Pollockshields";;;
"Macfarlane Street";;;;;;
"McIntosh Street";;;;;;
"McIntyre Street";;;"Anderston";;;
"McKechnie Street";;;;;;
"McKinlay Street";;;;;;
"McLean Street";;;;;;
"McLellan Street";;;;;;
"McNeil Street";;;;;;
"McPherson Street";;;;;;
"Main Street";;;"Anderston, Bridgeton, Calton, Gorbals, ";"south, north";;
"Mains Street";;;;;;
"Mair Street";;;;;;
"Maitland Place";;;"Glasgow, Langside";;;
"Mallsmire Place";;;"Mount Florida";;;
"Mansfield Place";;;;;;
"Mansfield Street";;;"Partick";;;
"Mansion House Road";;;"Langside";;;
"Mansion Street";;;"Possilpark";;;
"Marchmont Terrace";;;"Kelvinside";;;
"Margaret Street";;;"Glasgow, Laurieston";;;
"Marjory Place";;;"Pollockshields";;;
"Market Street";;;;"east";;
"Markland Terrace";;;"Hillhead";;;
"Marlborough Street";;;;;;
"Marlow Street";;;;;;
"Marquis Street";;;;;;
"Marshall Place";;;;;;
"Mason Stret";;;;;;
"Mathieson Street";;;;;;
"Matilda Place";;;"Strathbungo";;;
"Matilda Terrace";;;"Strathbungo";;;
"Matilda Road";;;"Pollockshields";;;
"Maule Terrace";;;"Partick";;;
"Maxwell Road";;;"Pollockshields";"east";;
"Maxwell Street";;;"Glasgow, Partick";;;
"Maxwell Terrace";;;"Pollockshields";;;
"May Terrace";;;"Mount Florida";;;
"Maybank Terrace";;;"Crosshill";;;
"Meadowbank Crescent";;;"Partick";;;
"Meadowbank Place";;;"Partick";;;
"Meadowpart Street";;;;;;
"Meadowvale";;;"Partick";;;
"Melrose Buildings";;;;;;
"Melrose Place";;;;;;
"Melrose Street";;;;;;
"Melville Lane";;;;;;
"Melville Place";;;;;;
"Melville Street";;;"Glasgow, Pollockshields";;;
"Melville Terrace";;;"Pollockshields";;;
"Merchant Lane";;;;;;
"Merkland Street";;;"Partick";;;
"Middleton Place";;;;;;
"Mill Street";;;;;;
"Millarbank Street";;;"Springburn";;;
"Millbrae Crescent";;;"Langside";;;
"Millbrae Road";;;"Langside";;;
"Millbrae Terrace";;;"Langside";;;
"Millburn Street";;;"Garngadhill";;;
"Millcroft Place";;;;;;
"Miller's Place";;;;;;
"Miller Street";;;;"east";;
"Millroad Street";;;;;;
"Milton Place";;;;;;
"Milton Street";;;;;;
"Milton Terrace";;;"Langside";;;
"Minard Avenue";;;"Partick";;;
"Minard Road";;;"Partick";;;
"Minard Terrace";;;"Partick";;;
"Minerva Street";;;;;;
"Mitchell Lane";;;;;;
"Mitchell Street";;;;;;
"Moir Street";;;;;;
"Moncur Street";;;;;;
"Monkland Street";;;;;;
"Montague Place";;;;;;
"Monteith Row";;;;;;
"Montgomerie Crescent";;;"Kelvinside";;;
"Montgomerie Drive";;;"Kelvinside";;;
"Montgomery Street";;;;;;
"Montgomerie Terrace";;;"Mount Florida";;;
"Montrose Street";;;;;;
"Moore Pace";;;;;;
"Moore Street";;;;;;
"Moray Place";;;"Strathbungo";;;
"Mordaunt Street";;;;;;
"Morris Place";;;;;;
"Morrison Street";;;;;;
"Mosesfield Terrace";;;"Springburn";;;
"Mossview ";;;"Crossmyloof";;;
"Mount Street";;;;;;
"Muirhead Street";;;;;;
"Murray Place";;;;;;
"Murray Street";;;;;;
"Muse Lane";;;"Cowcaddens";;;
"Muslin Street";;;"Bridgeton";;;
"Myrtle Park";;;"Crosshill";;;
"Myrtle Street";;;;;;
"Naburn Street";;;;;;
"Napier Place";;;;;;
"Napiershall Street";;;;;;
"Nelson Street";;;"Glasgow, Tradeston";"east";;
"Nelson Terrace";;;"Hillhead";;;
"New City Road";;;;;;
"Newhall Street";;;;;;
"Newhall Terrace";;;;;;
"New Street";;;"Calton";;;
"Newton Place";;;;;;
"Newton Street";;;;;;
"Newton Terrace";;;;;;
"New Wynd";;;;;;
"Nicholas Street";;;;;;
"Nicholson Street";;;;;;
"Nile Street";;;;"east, west";;
"Nithsdale Road";;;"Pollockshields, Strathbungo";;;
"Norfolk Street";;;;;;
"Northburn Street";;;;;;
"North Court";;;;;;
"North Street";;;"Anderston";;;
"North-East Park Street";;;"Dennistoun";;;
"North Woodside Road";;;;;;
"Norwood Terrace";;;;;;
"Nuneaton Street";;;;;;
"Oak Street";;;;;;
"Oakbank Street";;;;;;
"Oakfield Terrace";;;"Hillhead";;;
"Oakley Terrace";;;;;;
"Oakvale";;;;;;
"Old Kelvinhaugh Road";;;;;;
"Old Wynd";;;;;;
"Onslow Drive";;;;;;
"Onslow Square";;;;;;
"Orchard Street";;;"Glasgow, Partick";;;
"Orr Street";;;;;;
"Oswald Place";;;"Whiteinch";;;
"Oswald Street";;;"Glasgow, Bridgeton, ";"east, west, north";;
"Otago Street";;;"Hillhead";;;
"Overnewton Square";;;;;;
"Overnewton Street";;;;;;
"Oxford Street";;;;;;
"Paisley Road";;;;;;
"Park Circus";;;;;;
"Park Gardens";;;;;;
"Park Lane";;;;;;
"Park Place";;;;;;
"Park Quadrant";;;;;;
"Park Road";;;;;;
"Park Street";;;"Glasgow, Kelvinhaugh, Kinning Park, Plantation, ";"east, west";;
"Park Terrace";;;"Glasgow, Crosshill, Langside";"east, west";;
"Parkgrove Place";;;;;;
"Park Grove Terrace";;;;"west";;
"Parkhouse Lane";;;;;;
"Parkview";;;"Mount Florida";;;
"Parliamentary Road";;;;;;
"Parson Street";;;;;;
"Partickhill Road";;;"Partick";;;
"Paterson Street";;;"Glasgow, Anderston, Kingaton";"north";;
"Paul Street";;;;;;
"Paxton Terrace";;;"Crosshill";;;
"Peel Street";;;"Partick";;;
"Peel Terrace";;;;;;
"Pembroke Street";;;;;;
"Percy Street";;;;;;
"Percy Terrace";;;"Kelvinside";;;
"Perth Street";;;;;;
"Petershill Road";;;;;;
"Pettigrew Street";;;;;;
"Piccadilly Street";;;;;;
"Pine Street";;;;;;
"Pitt Street";;;;"east, west";;
"Plantation Buildings";;;;;;
"Plantation Place";;;;;;
"Plantation Street";;;;;;
"Pollock Street";;;;;;
"Pollockshaws Road";;;"Glasgow, Strathbungo";;;
"Polmadie Street";;;"Mount Florida";;;
"Port Street";;;;;;
"Port Dundas Road";;;;"east, west";;
"Prtland Street";;;;"north, south";;
"Portman Place";;;"Hillhead";;;
"Portman Street";;;"Kinning Park";;;
"Portugal Street";;;;;;
"Preston Street";;;"Bridgetonm Govanhill";;;
"Prince Edward Street";;;"Govanhill";;;
"Prince's Square";;;"Glasgow, Strathbungo";;;
"Prince's Street";;;;"west";;
"Prince's Terrace";;;"Hillhead";;;
"Prince of Wales Terrace";;;"Hillhead, Crosshill";;;
"Pulteny Street";;;;;;
"Queen Arcade";;;;;;
"Queensberry Terrace";;;"Langside";;;
"Queen's Crescent";;;;;;
"Queen's Drive";;;"Crosshill";"west";;
"Queen Mary Avenue";;;"Crosshill";;;
"Queen Mary Street";;;;;;
"Queen's Park Place";;;"Strathbungo";;;
"Queen's Park Terrace";;;;;;
"Queen's Place";;;;;;
"Queen Square";;;"Strathbungo";;;
"Queen Street";;;;"north";;
"Queen's Terrace";;;;;;
"Radnor Street";;;;;;
"Radnor Terrace";;;;;;
"Rae Street";;;"Port Dundas";;;
"Raeberry Street";;;;;;
"Raglan Street";;;;;;
"Randolph Place";;;"Garnethill";;;
"Randolph Terrace";;;"Garnethill";;;
"Ranfurly Place";;;;;;
"Regent Park Square";;;"Strathbungo";;;
"Regent Park Terrace";;;"Strathbungo";;;
"Regent Street Lane";;;;;;
"Regent Street";;;;"west";;
"Reid Street";;;"Bridgeton";;;
"Reidvale Street";;;;;;
"Renfield Lane";;;;;;
"Renfield Street";;;;;;
"Renfrew Court";;;;;;
"Renfrew Lane";;;;;;
"Renfrew Street";;;;;;
"Renton Terrace";;;"Crosshill";;;
"Renwick Street";;;"Kinning Park";;;
"Richard Street";;;;;;
"Richmond Street";;;;;;
"Risk Street";;;;;;
"Robertson Lane";;;;;;
"Robertson Street";;;;;;
"Rochester Street";;;;;;
"Rockbank ";;;"Partick";;;
"Rocklea Terrace";;;"Kelvinside";;;
"Rokeby Terrace";;;"Hillhead";;;
"Ronald Street";;;;;;
"Ropework Lane";;;;;;
"Rose Street";;;"Glasgow, Garnethill, Hutchesontown";"east";;
"Roseband Terrace";;;;;;
"Roseberry Terrace";;;"Glasgow, Pollockshields";;;
"Rosehall Street";;;;;;
"Rosehill";;;;;;
"Roseland Terrace";;;;;;
"Roslea Drive";;;"Dennistoun";;;
"Rosemount Street";;;;;;
"Rosevale Street";;;"Partick";;;
"Rosevale Terrace";;;"Partick";;;
"Rosslyn Place";;;"Pollockshields";;;
"Rosslyn Terrace";;;"Kelvinside, Pollockshields";;;
"Rottenrow";;;;"north, south";;
"Roxburgh Street";;;"Kelvinside";;;
"Royal Arcade";;;;;;
"Royal Bank Place";;;;;;
"Royal Crescent";;;"Glasgow, Crosshill";;;
"Royal Exchange Buildings";;;;;;
"Royal Exchange Place";;;;;;
"Royal Exchange Square";;;;;;
"Royal Terrace";;;"Glasgow, Crosshill";;;
"Royal Street";;;;;;
"Rumford Street";;;;;;
"Rupert Street";;;;;;
"Russel Street";;;;"east, west";;
"Rutherford Lane";;;;;;
"Rutherglen Loan";;;;;;
"Rutherglen Road";;;;;;
"Ruthven Street";;;"Kelvinside";;;
"Rutland Crescent";;;;;;
"Rutland Place";;;;;;
"Alban's Terrace";;;"Hillhead";;;
"St Andrew's Lane";;;;;;
"St Andrew's Road";;;"Pollockshields";"east";;
"St Andrew's Square";;;;;;
"St Andrew's Street";;;;;;
"St Bernard's Place";;;"Hillhead";;;
"St Clair Street";;;;;;
"St Enoch Square";;;;"east, west";;
"St Enoch Qynd";;;;;;
"St George's Place";;;;;;
"St George's Road";;;;;;
"St James' Street";;;"Glasgow, Hillhead, Kingston";;;
"St James' Terrace";;;"Hillhead";;;
"St John's Road";;;"Pollockshields";;;
"St John's Terrace";;;"Hillhead";;;
"St Marnock Street";;;;;;
"St Mary's Place";;;;;;
"St Mungo Street";;;;"north, south";;
"St Ninian Street";;;;;;
"St Peter's Lane";;;;;;
"St Vincent Crescent";;;;;;
"St Vincent Lane";;;;"east, west";;
"St Vincent Street";;;;;;
"Salisbury Quadrant";;;"Strathbungo";;;
"Salisbury Street";;;;;;
"Salisbury Terrace";;;"Hillhead";;;
"Salkeld Street";;;;;;
"Saltmarket";;;;"east, west";;
"Sanbank";;;"Partick";;;
"Sandringham Terrace";;;"Hillhead";;;
"Sandyfaulds Street";;;;;;
"Sandyford Buildings";;;;;;
"Sandyford Place";;;;;;
"Sandyford Street";;;;;;
"Saracen Street";;;"Possilpark";;;
"Sardinia Terrace";;;"Hillhead";;;
"Sauchiehall Lane";;;;;;
"Sauchiehall Street";;;;;;
"Scotia Street";;;;;;
"Scotland Street";;;"Tradeston, Woodlands";;;
"Scott Street";;;"Garnethill, Port Dundas";;;
"Seamour Street";;;;;;
"Sedan Place";;;;;;
"Seton Terrace ";;;"Dennistoun";;;
"Seyton Avenue";;;"Langside";;;
"Shaftesbury Buildings";;;;;;
"Shaftesbury Street";;;;;;
"Shaftesbury Terrace";;;;;;
"Shamrock Street";;;;;;
"Shawfield Place";;;;;;
"Shields Road";;;"Glasgow, Pollockshields";;;
"Shields Terrace";;;"Kinning Park";;;
"Shuttle Lane";;;;;;
"Shuttle Street";;;;;;
"Silvergrove Street";;;;;;
"Simpson Street";;;;;;
"Sister Street";;;;;;
"Skiphall Place";;;;;;
"Skirbing Street";;;"Langside";;;
"Slatefield Street";;;;;;
"Smith Street";;;"Govanhill, Hillhead, Kinning Park, Whiteinch";;;
"Soho Street";;;;;;
"Somerset Place";;;;;;
"Somerville Place";;;;;;
"Somerville Drive";;;"Mount Florida";;;
"South Park Terrace";;;"Hillhead";;;
"South Shamrock Street";;;;;;
"South Woodside Road";;;;;;
"Spiers' Place";;;;;;
"Spiers' Wharf";;;;;;
"Spoutmouth";;;"Gallowgate";;;
"Spring Gardens";;;"Kelvinside";;;
"Spring Place";;;"Crossmyloof";;;
"Springburn Road";;;;;;
"Springfield Lane";;;;;;
"Springfield Place";;;;;;
"Springfield Road";;;;;;
"Springhill Terrace";;;"Crossmyloof";;;
"Stafford Place";;;;;;
"Stafford Terrace";;;;;;
"Staffort Street";;;;;;
"Stanhope Street";;;;;;
"Stanley Buildings";;;;"west";;
"Stanley Place";;;;;;
"Stanley Street";;;"Glasgow, Kinning Park";;;
"Stanmore Terrace";;;"Mount Florida";;;
"Steel Street";;;;;;
"Stella Place";;;"Pollockshields";;;
"Stevenson Drive";;;"Langside";;;
"Stevenson Street";;;;;;
"Stewart Place";;;;;;
"Stewart Street";;;;;;
"Stuart Street";;;"Partick";;;
"Stewartville Street";;;"Partick";;;
"Stirling Road";;;;;;
"Stirling Street";;;"Glasgow, Port Dundas";;;
"Stobbie's Place";;;;;;
"Stobcross Street";;;;;;
"Stockwell Place";;;;;;
"Stockwell Street";;;;"east, west";;
"Stonefield Terrace";;;;;;
"Strathclyde Street";;;;;;
"Strathearn Place";;;;;;
"Struan Terrace";;;"Crosshill, Gvanhill";;;
"Struthers Street";;;;;;
"Summerfield Cottages";;;"Whiteinch";;;
"Summerfield Place";;;"Whiteinch";;;
"Summer Street";;;;;;
"Surrey Lane";;;;;;
"Surrey Place";;;;;;
"Surrey Street";;;;;;
"Sussex Place";;;;;;
"Sussex Street";;;;;;
"Sutherland Terrace";;;"Hillhead";;;
"Swan Street";;;"Port Dundas";;;
"Swanston Street";;;;;;
"Sword Street";;;;;;
"Sydney Street";;;;;;
"Tarbert Street";;;;;;
"Taylor Place";;;;;;
"Taylor Street";;;;;;
"Tennant Street";;;;;;
"Terrace Street";;;;;;
"Teviot Terrace";;;"Kelvinside";;;
"Tharsis Street";;;;;;
"Thistle Street";;;"Glasgow, Garnethill";"south";;
"Thistle Terrace";;;;;;
"Thomson's Lane";;;"Calton, Mile-end";;;
"Thomson Street";;;;;;
"Thorne Place";;;;;;
"Thornville Terrace";;;"Hillhead";;;
"Tillie Street";;;;;;
"Titwood Place";;;"Strathbungo";;;
"Tobago Street";;;;;;
"Tower Street";;;;;;
"Towerhill Terrace";;;"Springburn";;;
"Townhill Road";;;;;;
"Trongate";;;;;;
"Tureen Street";;;;;;
"Turner's Street";;;;;;
"Tylefield Street";;;;;;
"Union Street";;;;;;
"University Avenue";;;"Hillhead";;;
"University Street";;;;;;
"Ure Place";;;;;;
"Valeview Terrace";;;"Mount Florida";;;
"Vermont Street";;;;;;
"Victoria Buildings";;;"Hillhead, Pollockshields";;;
"Victoria Crescent";;;"Hillhead, Pollockshields";;;
"Victoria Cross";;;"Grosshill";;;
"Victoria Drive";;;"Mount Florida";;;
"Victoria Place";;;"Mount Florida";;;
"Victoria Road";;;"Glasgow, Crosshill";"east, west";;
"Victoria Street";;;"Hillhead, Port Eglinton";;;
"Victoria Terrace";;;"Hillhead, Mount Florida, Crosshill";;;
"Viewfield Terrace";;;"Hillhead, Langside";;;
"Villiers Street";;;;;;
"Vinicombe Street";;;"Hillhead";;;
"Virginia Street";;;;;;
"Vulcan Street";;;;;;
"Waddell Street";;;;;;
"Walker Street";;;"Glasgow, Partick";;;
"Walkinshaw Street";;;;;;
"Wallace Grove Place";;;;;;
"Wallace Street";;;;"north";;
"Wall's Street";;;;;;
"Walmer Crescent";;;;;;
"Walworth Terrace";;;;;;
"Ward Street";;;;;;
"Warroch Street";;;;;;
"Warwick Street";;;;;;
"Washington Street";;;;;;
"Water Street";;;"Port Dundas";;;
"Waterloo Street";;;;"east";;
"Watson Street";;;;"north";;
"Watt Street";;;"Kinning Park";;;
"Weaver Street";;;;;;
"Well Road";;;;;;
"Well Street";;;;;;
"Wellcroft Place";;;;;;
"Wellfield Street";;;;;;
"Wellington Arcade";;;;;;
"Wellington Lane";;;;;;
"Wellington Place";;;;"south";;
"Wellington Street";;;;"south";;
"Wellpark Place";;;"Crossmyloof";;;
"Wellpark Street";;;;;;
"Wellpark Terrace";;;;;;
"Wemyss Place";;;;;;
"Wendover Crescent";;;"Mount Florida";;;
"Wesleyan Street";;;"Mile-end";;;
"West Street";;;;;;
"Westbank Place";;;"Hillhead";;;
"Westbank Quadrant";;;;;;
"Westbank Terrace";;;;;;
"Westbourne Gardens";;;"Kelvinside";;;
"Westbourne Terrace";;;"Kelvinside";;;
"Westburn Place";;;"Whiteinch";;;
"Westbury Street";;;;;;
"Westfield Terrace";;;"Partick";;;
"West Garden Street";;;;;;
"West George Lane";;;;;;
"West Scotland Street";;;;;;
"West-end Park Street";;;;;;
"West View Gardens";;;"Dennistoun";;;
"Wester Craigs";;;;;;
"Westminster Terrace";;;;;;
"Westmoreland Street";;;"Govanhill";;;
"Weymouth Terrace";;;;;;
"Wharf ";;;"Port Dundas";;;
"Whitehall Place";;;"Ganethill";;;
"Whitehill Street";;;"Dennistoun";;;
"Whitehill Gardens";;;"Dennistoun";;;
"Whitevale";;;;;;
"Wigton Street";;;;;;
"William Street";;;"Anderston, Calton, Cowcaddens, Mile-end";;;
"Willowbank Crescent";;;;;;
"Willowbank Street";;;;;;
"Wilson Street";;;"Glasgow, Hillhead, Partick";;;
"Wilton Crescent";;;;;;
"Wilton Terrace";;;;;;
"Windsor Circus";;;"Kelvinside";;;
"Windsor Place";;;"Kelvinside";;;
"Windsor Quadrant";;;"Kelvinside";;;
"Windsor Street";;;;;;
"Windsor Terrace";;;"Glasgow, Kelvinside, Langside";;;
"Winton Terrace";;;"Crosshill";;;
"Wolseley Street";;;;;;
"Wood Lane";;;;;;
"Woodlands Road";;;;;;
"Woodlands Terrace";;;"Glasgow, Langside";;;
"Woodrow Road";;;"Pollockshields";;;
"Woodside Crescent";;;;;;
"Woodside Place";;;"Glasgow, Crossmyloof";;;
"Woodside Quadrant";;;;;;
"Woodside Terrace";;;;;;
"York Lane";;;;;;
"York Street";;;"Glasgow, Little Govan";;;
"Yorkhill Street";;;;;;
"Young Street";;;;;;
